q3,age,q4,q61,q9,q10,q11
1,56,5,9,8,1,-9
1,46,5,8,10,1,-9
1,25,5,9,10,1,1
1,19,5,8,6,1,4
1,35,5,10,10,1,3
1,80,5,4,10,1,4
1,20,5,6,6,2,5
1,24,5,10,8,1,4
1,56,5,4,7,1,2
1,49,5,7,7,1,-9
1,41,5,11,8,1,6
1,20,5,4,4,2,-9
1,56,5,6,6,1,2
1,52,5,8,10,1,-9
2,26,5,4,5,3,8
2,29,5,8,3,3,7
1,41,5,9,8,1,1
2,29,5,9,8,1,1
1,29,5,10,1,3,-9
1,28,5,9,7,1,-9
1,52,5,5,7,1,9
1,58,5,6,5,1,-9
1,22,5,4,2,1,5
1,21,10,8,7,1,1
2,65,5,5,6,1,1
1,23,5,8,7,1,3
2,32,5,10,7,2,1
2,21,5,8,9,1,-9
1,70,5,10,4,1,-9
2,22,5,8,9,2,5
2,40,5,10,7,1,3
2,30,5,5,6,1,-9
2,48,5,7,6,2,4
2,36,5,5,2,2,-9
2,32,5,10,5,1,-9
1,36,5,10,2,1,3
1,36,5,5,8,1,3
2,24,5,4,-9,3,-9
1,39,5,4,7,2,6
1,51,5,4,0,4,NA
1,33,5,9,8,1,3
1,80,5,9,8,1,-9
1,39,5,4,2,2,-9
2,24,5,9,6,1,-9
1,59,5,9,9,2,1
2,73,5,11,10,1,-9
2,40,5,5,7,1,2
1,38,5,10,6,2,-9
2,60,5,9,8,1,1
1,28,5,7,3,2,5
1,58,5,9,6,2,-9
1,34,5,10,6,1,3
2,47,5,9,3,1,2
1,42,5,7,8,1,2
1,45,5,8,7,2,-9
1,40,5,6,3,1,1
2,47,5,9,8,1,2
2,53,5,10,10,2,-9
1,51,5,6,3,2,4
1,62,5,8,8,1,-9
2,53,5,5,8,1,-9
1,70,5,5,7,1,4
2,48,5,10,1,2,5
1,35,5,9,7,1,-9
2,53,5,7,5,1,-9
2,23,5,8,10,1,3
2,66,5,9,6,1,-8
2,38,5,10,7,1,3
1,51,5,10,7,1,-8
1,69,5,10,1,2,-9
2,23,5,8,7,1,1
2,47,5,10,8,2,1
1,47,5,10,8,1,1
2,34,5,7,4,3,1
2,41,5,7,4,1,10
1,36,10,8,10,2,1
2,32,5,10,10,1,-9
1,25,5,7,8,1,1
1,43,5,9,10,1,1
1,50,5,11,10,1,6
1,27,5,6,5,2,-9
2,30,5,10,6,1,3
1,26,5,8,8,1,3
1,36,5,3,8,1,-9
1,39,5,9,3,1,1
1,32,5,7,8,1,3
2,71,5,9,10,1,2
2,43,5,9,9,1,4
1,28,5,5,7,1,-9
2,55,6,9,7,1,-9
2,33,5,10,6,1,-8
1,22,5,9,9,1,1
1,65,5,7,10,1,-9
2,42,5,9,8,1,1
1,62,5,6,10,2,-8
2,38,5,9,6,1,1
1,45,5,9,8,1,-9
1,35,5,10,6,2,-9
2,30,5,9,10,1,1
1,52,5,6,7,2,1
1,29,5,9,10,2,-9
1,30,5,3,0,4,NA
1,20,5,7,7,1,4
1,41,5,5,2,3,4
1,68,5,7,10,1,2
2,39,5,4,2,2,-9
1,40,5,7,5,1,-9
1,30,5,5,5,1,4
1,59,5,10,10,1,-9
2,26,5,9,7,1,10
2,63,5,7,7,1,-8
1,18,5,5,10,1,4
1,67,5,1,6,3,-8
1,20,5,5,6,2,-9
2,46,5,9,5,1,-9
1,34,5,9,10,1,1
1,64,5,7,5,1,-9
1,50,5,9,10,1,1
2,64,6,11,10,1,1
1,68,6,8,8,1,-9
1,18,6,5,10,1,2
1,41,6,8,8,1,5
1,41,6,4,8,1,-9
2,35,6,10,7,2,3
2,60,6,7,9,1,-9
1,67,6,10,6,1,2
1,33,6,9,9,1,-9
1,34,6,10,8,1,-9
1,19,6,5,8,2,2
2,41,6,9,10,1,1
2,33,6,10,9,1,5
1,54,6,8,10,1,5
2,76,6,10,7,5,5
2,33,6,6,8,1,-9
1,33,6,9,7,1,1
1,46,6,11,9,1,2
1,33,6,7,4,2,2
1,43,6,8,8,1,-9
2,61,6,11,10,1,1
2,40,5,9,6,1,3
2,36,6,9,10,1,-8
2,50,6,6,5,1,3
1,33,6,5,9,1,2
1,22,6,6,10,1,3
1,36,6,11,10,1,-9
2,40,6,7,10,1,-9
1,18,6,5,6,2,2
2,58,6,7,5,1,3
1,76,6,5,3,1,-9
1,29,6,9,5,1,1
2,55,6,8,10,1,2
2,72,6,5,5,1,2
1,27,6,9,8,1,-9
1,73,6,9,8,1,3
1,60,6,9,9,1,3
2,28,6,8,4,1,3
2,24,6,9,8,2,3
2,40,6,9,10,1,2
2,27,6,9,8,2,1
2,58,6,7,0,2,-9
1,18,6,8,7,2,6
1,37,6,5,9,1,3
1,75,6,6,8,1,1
1,70,6,11,10,5,3
1,46,6,8,5,1,1
1,30,6,7,8,1,1
1,61,6,5,5,2,1
1,46,6,6,8,1,1
1,55,6,9,9,1,1
1,55,6,9,10,1,9
2,53,6,4,0,3,3
2,27,6,9,7,1,1
2,40,6,9,9,1,1
1,38,6,7,5,2,-9
2,66,6,9,10,1,1
1,59,6,9,5,1,-9
2,46,6,9,3,1,6
2,43,6,9,7,1,-9
1,27,6,9,7,1,3
2,68,6,10,9,1,5
2,31,6,9,7,1,-9
1,70,6,4,9,1,2
2,42,6,9,9,1,-9
1,35,6,10,10,5,1
1,48,6,5,6,2,3
1,60,6,5,8,1,2
1,43,6,9,7,2,2
1,54,6,7,8,1,2
1,72,6,7,9,1,1
1,49,6,9,10,1,2
1,30,6,10,10,1,1
1,44,6,7,8,1,3
1,34,6,11,10,1,1
2,43,6,9,10,1,3
1,53,6,9,10,1,2
1,31,6,9,5,3,-9
2,29,6,7,3,2,-9
2,39,6,11,8,1,2
2,63,6,5,7,2,1
1,24,6,11,10,4,NA
2,29,6,7,7,1,2
1,67,6,10,10,1,1
1,55,9,9,8,2,-9
2,71,6,6,7,1,1
2,87,6,10,10,1,-8
1,47,6,7,2,3,2
1,72,6,7,10,1,3
2,58,6,9,10,5,-8
1,57,6,10,10,1,1
1,55,6,7,8,1,1
1,39,6,9,10,1,3
1,58,6,7,10,1,-9
2,54,6,7,10,5,3
1,37,6,9,8,1,3
1,52,6,11,8,1,-9
1,23,6,5,4,2,3
1,39,6,7,8,5,6
1,56,6,7,5,1,2
1,40,6,9,7,1,1
1,34,6,11,8,1,3
1,64,6,5,7,1,1
2,66,6,9,6,2,5
1,25,6,7,8,1,2
1,68,6,9,10,-8,NA
2,43,6,5,6,1,1
2,69,6,5,10,1,2
1,39,5,10,10,1,-9
1,39,6,7,4,2,1
2,50,6,8,10,5,5
2,26,6,7,6,2,3
1,50,6,9,7,1,-9
1,55,6,7,8,1,1
1,30,6,10,2,1,2
2,44,6,10,9,1,7
1,68,6,10,6,1,-9
1,32,6,9,8,1,1
1,71,6,9,10,1,-9
1,40,6,6,10,3,1
1,44,6,9,6,1,-9
1,40,6,7,0,1,-9
2,59,6,10,10,1,1
1,41,6,9,4,2,5
1,42,6,7,5,1,-9
1,22,6,9,7,1,3
2,27,10,10,10,1,1
1,46,6,10,7,1,1
1,43,6,6,6,2,-9
2,71,6,9,10,1,-9
1,49,6,9,10,1,1
1,69,6,9,10,1,2
2,21,6,5,0,3,-9
1,60,6,10,10,1,-9
2,20,6,5,5,2,-9
2,50,6,9,10,1,1
1,48,6,9,7,1,1
2,26,6,9,8,1,3
1,63,6,9,10,1,2
1,35,6,11,10,1,1
2,24,6,9,9,1,-9
2,39,6,7,2,3,3
1,29,6,9,9,1,1
2,35,6,9,8,1,1
2,34,6,10,5,1,-8
2,30,6,9,8,1,2
1,60,6,7,10,1,2
1,41,6,9,9,1,1
2,31,6,9,8,1,1
1,35,6,5,6,2,3
1,62,6,10,7,1,1
1,72,9,6,5,1,-9
2,58,10,5,10,1,1
1,56,10,7,9,1,2
1,60,10,9,10,1,-8
2,19,6,8,6,2,2
1,37,10,7,7,1,-9
1,42,10,9,8,2,2
2,37,10,9,10,1,-9
2,60,10,10,10,1,1
1,74,10,5,5,-8,NA
1,51,10,10,10,1,3
2,22,10,8,7,1,3
2,78,10,9,10,1,-9
1,50,10,5,3,3,-9
1,34,10,7,9,1,2
1,41,10,4,8,1,5
2,47,10,10,7,1,5
1,57,10,5,8,1,2
2,61,10,9,8,1,1
1,72,10,5,5,1,-9
1,72,10,7,9,1,-9
1,70,10,11,8,1,2
2,59,10,9,7,1,5
1,39,10,9,10,1,-9
1,39,10,10,6,1,3
2,50,10,9,10,1,3
2,59,10,5,10,1,1
1,24,10,7,7,1,5
1,47,10,6,8,1,-8
1,53,10,10,8,2,1
1,35,10,6,7,1,1
1,29,10,9,8,1,1
2,62,10,7,10,1,-9
1,65,10,10,10,1,2
2,34,10,7,5,1,-9
1,50,10,9,8,1,2
1,49,6,9,10,1,2
1,50,10,8,5,1,1
1,48,10,6,5,1,-9
1,67,7,4,10,1,1
1,51,10,11,8,1,-9
2,47,10,7,7,1,-9
1,43,10,5,8,1,1
1,66,10,6,7,1,-9
2,26,10,9,6,1,1
1,56,10,9,6,1,5
1,35,10,5,1,2,-8
2,36,10,7,8,1,1
1,32,10,9,4,2,-9
2,63,10,7,0,3,1
1,30,10,9,8,1,1
2,40,10,7,5,2,-9
2,19,10,5,7,1,3
2,37,10,5,8,2,3
1,40,10,5,5,1,-9
1,31,10,5,7,2,2
2,25,10,9,3,2,1
1,36,9,6,7,2,2
1,22,9,7,8,2,2
1,74,9,5,10,1,-8
1,56,9,7,4,1,2
1,29,9,7,6,1,-9
1,53,9,7,10,1,2
2,30,9,5,10,1,3
1,36,9,9,8,2,1
2,21,9,8,4,1,3
2,65,9,9,6,1,1
1,45,9,5,3,1,-9
2,50,9,7,10,1,5
1,24,9,5,10,5,3
1,62,9,7,8,1,2
2,26,9,7,8,1,-9
2,29,9,9,7,1,1
1,34,9,7,10,1,1
2,55,9,6,10,1,2
1,65,9,9,10,1,2
1,30,9,5,7,1,2
1,63,9,7,5,2,-9
1,46,9,9,10,1,-9
1,35,9,10,6,1,-8
2,32,9,7,8,1,2
1,62,9,5,6,5,2
2,49,9,11,8,1,2
2,61,9,10,9,1,-9
2,55,9,7,8,1,1
2,64,9,10,9,1,-9
2,62,9,8,9,1,-9
1,75,9,2,9,1,2
1,62,9,7,8,2,2
1,43,9,4,8,1,2
2,64,9,9,5,1,2
1,59,9,9,10,1,2
1,33,9,5,10,1,2
1,51,9,9,7,1,1
1,28,9,9,8,1,1
2,39,9,7,5,1,2
2,28,9,9,7,1,3
1,69,9,8,10,1,2
2,56,9,8,9,1,2
1,46,9,7,10,1,2
1,29,9,5,8,1,2
1,67,9,9,10,1,2
1,57,9,7,10,5,2
1,22,7,8,9,1,1
2,26,7,9,3,4,NA
2,39,7,9,7,1,1
1,40,7,7,10,1,2
1,23,6,4,7,-9,NA
1,51,7,10,8,1,2
2,29,7,9,6,1,2
2,51,7,7,10,1,-9
2,31,7,5,3,3,-9
1,46,7,8,10,1,2
1,29,7,7,6,1,2
1,35,7,9,8,1,1
2,41,7,7,5,1,1
1,58,8,9,7,1,3
2,57,8,9,8,1,2
1,33,8,6,9,1,2
1,70,8,9,8,1,1
1,29,9,7,10,1,2
2,66,8,8,5,2,-9
2,71,8,9,8,1,2
1,21,8,8,7,1,2
1,53,8,7,7,1,-9
2,30,9,9,8,1,2
1,45,1,9,9,1,-9
2,50,1,9,9,1,3
1,34,1,9,3,3,3
1,57,1,8,8,1,-9
2,42,1,8,0,4,NA
1,61,2,11,8,1,2
2,26,2,11,10,1,-9
2,31,2,7,6,1,1
2,50,2,7,10,1,1
1,32,2,5,5,1,7
2,44,3,6,3,1,-9
2,25,3,7,0,2,-9
2,38,3,10,6,1,-8
1,28,3,8,8,1,1
2,48,3,9,8,1,2
1,27,3,7,7,1,5
2,52,3,7,4,1,-9
1,64,3,7,8,1,-9
2,21,3,8,10,1,-9
1,58,3,7,8,1,2
2,44,3,10,1,3,1
2,37,3,9,8,1,2
2,69,3,8,5,1,-8
1,38,3,5,7,1,2
2,36,3,9,8,1,-8
1,31,9,11,3,2,5
1,47,3,7,6,1,3
1,33,10,9,9,1,-9
1,32,3,11,9,1,1
2,55,3,10,5,1,-9
1,45,3,9,7,1,2
1,19,3,5,6,1,3
1,61,3,10,8,1,1
2,52,3,11,3,3,9
1,73,3,8,7,2,2
2,32,3,9,5,2,2
2,27,8,9,8,1,-9
1,65,8,6,10,1,2
2,26,8,11,9,1,-9
1,79,8,11,7,1,1
2,57,8,5,5,1,-8
1,18,8,4,6,2,-9
1,36,8,7,8,1,2
2,23,8,7,8,1,2
2,63,8,7,9,1,6
2,56,8,7,10,1,2
1,40,8,8,9,1,1
2,54,9,10,8,1,2
1,35,5,6,1,3,1
1,55,5,7,5,1,1
2,64,4,9,8,1,1
2,45,4,8,7,2,2
2,73,4,10,9,1,1
1,56,4,7,4,2,-9
2,62,4,8,1,2,-9
2,89,1,8,5,1,1
1,60,3,10,6,1,5
2,71,3,10,10,1,1
1,71,10,9,7,1,2
2,65,10,10,6,1,-9
2,55,10,7,6,2,-9
2,65,10,8,5,1,-9
1,80,10,8,8,1,2
2,64,10,9,8,1,-8
1,73,10,10,10,1,-9
1,72,10,8,10,1,-9
1,80,10,11,3,1,5
1,62,10,8,6,2,7
2,43,10,9,5,1,2
1,42,10,6,4,2,-9
2,63,10,9,6,1,3
1,68,10,9,10,1,5
1,76,10,6,9,1,5
1,49,10,5,8,1,2
1,65,10,7,7,1,1
1,48,10,10,10,2,-9
1,72,10,11,10,1,3
1,69,10,9,10,1,3
2,34,10,4,10,1,2
1,72,10,5,8,1,2
2,53,10,5,4,3,2
1,72,10,11,10,1,1
1,46,10,9,6,2,5
1,68,10,7,8,1,1
1,74,10,7,10,1,3
2,82,10,8,7,1,2
1,95,10,9,10,1,7
2,37,10,6,5,1,2
2,73,10,9,9,1,3
2,57,10,7,5,1,-9
1,68,10,10,9,1,1
2,45,10,8,6,1,-9
2,45,10,7,8,1,2
2,77,10,7,8,1,1
1,69,10,9,8,1,2
1,80,6,8,10,1,6
1,69,6,10,10,1,1
1,39,6,4,0,3,-9
2,44,6,6,10,1,2
1,74,6,4,7,1,1
1,60,6,11,0,3,5
1,73,6,6,8,1,1
1,76,6,10,8,1,1
2,20,6,8,4,1,-8
2,51,6,4,2,3,-9
2,65,6,7,7,1,2
1,53,6,9,9,1,2
1,82,6,5,10,2,1
1,53,6,6,7,1,2
2,82,6,9,3,4,NA
1,75,6,8,10,1,1
1,59,6,11,10,1,2
1,60,6,5,10,1,2
1,77,6,11,9,1,-9
2,82,6,9,10,1,2
1,65,6,10,10,1,2
1,73,6,10,6,1,5
1,58,6,9,5,1,-9
2,75,6,7,10,1,-8
2,60,6,6,10,1,3
1,68,6,7,8,1,2
1,80,6,9,10,1,2
2,71,6,7,10,5,1
1,39,6,9,9,1,-9
2,42,6,7,10,1,2
1,68,6,11,10,1,-9
2,45,6,9,7,1,1
1,70,6,9,0,1,-9
1,66,6,9,6,1,5
2,29,6,9,10,1,3
1,51,6,10,10,1,1
1,38,6,5,5,1,2
1,72,6,4,8,1,2
1,73,6,9,5,1,5
1,57,6,6,8,1,5
2,53,2,10,8,4,NA
1,68,6,9,7,1,1
1,89,6,10,9,1,1
2,77,6,7,8,1,-8
2,86,6,6,9,1,2
2,18,6,5,7,1,3
1,62,6,5,10,1,2
2,64,6,7,7,1,2
1,69,6,9,7,1,1
2,60,6,7,8,1,-9
1,52,6,8,9,1,1
2,63,6,9,10,1,-9
2,65,6,7,10,1,1
2,68,6,8,10,1,-8
2,82,6,5,10,1,1
2,86,6,9,7,1,-9
1,40,6,5,7,1,-9
1,56,6,4,7,1,-9
2,63,6,9,10,1,1
2,58,6,9,5,2,3
1,73,6,10,6,1,5
1,54,6,7,5,1,-9
1,43,6,7,5,2,-9
2,72,6,8,3,1,-8
1,62,6,10,8,2,2
2,79,6,10,9,1,1
2,58,6,8,8,1,1
1,57,6,7,10,1,1
1,80,6,5,10,1,1
2,52,6,9,8,1,2
1,49,6,9,10,1,1
2,59,6,10,8,1,2
1,63,6,9,8,1,-8
2,68,6,9,5,1,-9
1,67,6,5,5,4,NA
1,58,6,9,9,1,1
1,65,6,8,7,1,2
2,85,6,9,10,1,1
2,65,6,10,10,1,-9
1,73,6,11,10,-9,NA
2,46,6,9,4,1,2
2,52,7,5,10,1,-9
1,66,7,4,8,1,1
1,53,7,7,10,1,2
1,55,8,5,10,1,6
2,41,8,10,9,1,1
1,69,8,7,6,1,-9
2,77,8,7,8,1,2
2,41,8,7,7,1,2
2,55,8,9,10,1,2
1,49,8,4,10,1,2
1,80,8,4,8,2,2
1,78,8,4,8,1,-9
1,73,8,5,2,1,3
1,63,8,5,7,1,2
1,78,8,10,8,1,2
1,68,8,11,7,1,3
1,78,8,4,8,1,2
1,60,8,9,10,1,-8
2,62,8,5,5,1,1
1,79,8,8,10,1,2
2,71,9,6,5,2,1
2,60,9,5,10,1,-9
2,31,9,9,5,1,2
2,37,9,5,10,1,2
2,74,9,4,6,1,-9
2,52,9,7,6,1,-9
2,67,9,7,6,1,2
2,46,9,7,7,1,-9
1,68,9,5,10,1,2
2,44,9,10,9,1,1
2,69,9,8,10,1,-9
2,79,9,5,5,1,3
2,39,9,9,10,1,2
1,47,9,5,6,3,2
1,64,9,9,9,1,2
2,74,9,9,5,1,1
2,74,9,7,10,1,-9
2,62,9,7,6,1,-9
2,58,9,8,8,1,-8
1,71,9,-9,10,1,2
1,54,9,7,7,1,-9
2,44,9,4,8,1,-9
1,54,9,4,2,3,3
2,33,9,3,10,1,2
2,83,9,9,10,1,2
2,52,9,7,10,1,-8
1,49,9,7,10,1,2
2,59,9,6,10,1,2
1,56,9,9,7,1,5
1,42,5,9,0,1,-9
1,62,5,5,5,1,-9
1,59,5,7,8,1,4
2,68,5,7,5,2,-9
2,34,5,9,7,1,-9
1,66,5,6,5,1,-9
2,59,5,6,6,1,2
1,63,5,9,9,1,-9
2,51,5,9,7,1,1
2,37,5,10,9,1,-9
2,71,5,8,8,1,1
2,65,5,6,3,1,4
2,68,5,3,6,2,-9
1,60,5,3,6,1,-8
2,51,5,9,8,1,1
1,37,5,5,10,1,1
2,71,5,7,0,2,-8
2,44,5,7,8,1,1
1,44,5,9,8,1,1
1,57,5,10,9,5,1
1,35,5,11,6,1,2
1,82,5,9,8,1,2
1,70,5,9,6,1,-8
2,59,5,7,6,1,1
1,49,5,7,5,1,4
2,71,5,7,3,1,-9
2,80,5,3,5,1,-9
2,76,5,6,5,1,1
2,61,5,5,7,1,-9
2,69,5,6,4,1,-9
2,39,5,8,10,1,1
2,47,5,9,7,1,-9
1,65,5,9,8,1,1
2,38,5,5,3,1,-9
2,39,5,10,6,1,5
2,40,5,9,10,1,-9
2,92,5,9,8,1,4
2,74,5,5,9,1,7
1,76,5,3,7,1,-8
1,63,5,5,5,4,NA
1,53,5,7,6,1,-9
1,65,5,11,8,1,-9
2,31,5,7,5,1,-9
1,41,5,10,8,1,5
1,82,5,3,8,1,-9
1,51,5,9,5,2,-9
2,81,5,-9,3,3,3
1,47,1,7,9,1,1
1,52,1,7,6,-9,NA
2,23,6,9,2,1,2
2,52,1,9,5,1,3
1,78,1,8,9,1,-9
1,19,1,8,4,2,1
1,44,1,7,6,2,2
2,50,1,7,5,1,-9
2,39,1,4,0,1,-9
1,37,9,7,10,1,2
1,49,1,7,9,1,2
2,38,1,9,7,1,-9
2,68,1,7,9,2,1
1,63,1,6,10,5,1
2,42,1,9,9,1,3
2,45,1,11,10,1,3
1,58,1,7,10,2,-9
2,30,1,11,6,1,-9
1,26,2,9,5,1,5
2,62,2,6,8,1,-9
1,32,2,5,4,2,-9
2,23,10,9,6,1,-9
1,23,2,6,2,3,-9
1,55,2,6,7,1,1
1,31,2,8,6,1,-9
1,71,6,5,9,2,1
2,50,2,10,7,1,-9
1,57,2,9,9,1,1
1,78,3,8,9,1,-9
2,60,2,8,10,1,1
1,42,2,4,2,4,NA
2,31,2,6,9,1,2
2,30,2,9,6,1,-9
2,27,2,7,4,2,-9
1,50,2,9,8,1,-9
2,51,2,7,5,1,5
2,60,2,9,8,1,1
2,76,2,10,10,1,1
1,45,2,9,9,1,1
1,60,2,4,7,1,-9
2,67,2,7,7,1,1
1,35,2,9,6,1,-9
2,66,6,10,6,1,2
1,50,3,4,6,2,-9
1,62,3,9,10,1,1
2,63,3,9,10,1,9
1,66,3,7,8,1,1
1,43,3,7,7,5,1
2,47,3,9,10,1,1
1,76,3,9,8,1,-8
1,65,3,5,8,1,1
1,22,3,5,7,1,3
2,39,3,10,10,1,-9
1,26,3,7,7,2,3
1,86,3,4,8,1,-9
2,50,3,11,7,1,2
2,28,3,7,7,1,3
1,61,3,5,8,1,5
1,76,3,11,10,1,1
1,42,3,7,4,1,2
2,73,4,5,8,1,2
2,25,4,9,2,3,1
1,66,4,9,7,1,5
1,24,4,7,5,2,2
2,45,4,7,7,1,2
1,30,4,7,8,1,5
1,23,4,9,7,1,1
2,21,3,8,7,1,5
1,68,4,7,7,1,-8
2,20,4,5,7,1,1
1,39,5,9,6,2,-9
1,34,5,5,7,1,-9
1,55,5,9,8,1,-8
1,28,5,10,8,1,1
2,58,5,7,7,1,1
2,43,5,10,3,1,4
2,46,5,7,6,1,-9
1,50,5,7,7,1,1
1,33,5,9,9,1,6
1,66,5,9,10,2,1
2,39,5,7,0,2,-9
1,59,5,6,5,1,-9
1,27,5,9,10,1,-9
1,59,5,9,7,1,-9
2,35,5,10,7,1,-9
1,60,5,10,8,1,1
1,34,5,5,5,4,NA
1,39,5,9,7,1,-9
1,66,5,5,5,2,6
2,54,5,9,7,1,1
1,48,5,3,8,1,2
1,63,5,11,7,1,-9
1,31,5,5,7,1,7
1,54,5,6,7,1,2
1,20,5,4,0,2,-9
1,39,5,7,8,1,-9
2,24,5,9,6,1,1
2,31,5,9,10,1,6
1,71,5,3,8,1,1
2,38,5,9,5,2,1
1,23,5,7,8,1,2
2,55,5,6,8,1,1
1,41,5,3,7,1,-9
1,70,5,11,6,1,-8
1,54,5,7,5,2,5
1,40,5,5,9,1,-9
2,64,5,10,6,1,-8
1,54,5,5,5,1,-9
1,42,5,9,8,1,3
1,40,5,7,9,1,1
1,21,5,7,5,1,5
1,50,5,5,6,2,-8
2,68,5,9,10,1,1
1,38,5,10,7,1,1
1,44,5,7,5,1,3
1,45,5,5,5,2,2
1,19,5,5,6,2,-9
2,19,5,7,7,1,-9
2,31,5,7,10,1,1
2,40,5,9,10,1,4
1,45,5,10,10,1,2
1,22,6,7,10,2,-9
1,62,5,3,5,2,-9
2,28,5,9,10,1,1
1,30,5,10,9,1,1
1,64,5,10,6,1,1
2,56,5,6,10,1,-9
2,36,5,10,8,1,1
1,74,5,4,10,1,2
2,28,5,5,10,5,5
1,71,5,9,0,4,NA
2,55,5,7,5,1,-9
1,30,5,9,4,1,3
2,43,5,7,6,1,1
2,20,5,6,6,2,1
1,47,5,10,7,1,1
2,76,5,5,7,1,-9
1,39,5,7,5,1,3
2,27,5,9,6,1,5
